地域コード,地域,年齢,総数／計(人),総数／男(人),総数／女(人),日本人／計(人),日本人／男(人),日本人／女(人),外国人／計(人),外国人／男(人),外国人／女(人)
13111,大田区,80～84,27882,11625,16257,27727,11570,16157,155,55,100
13111,大田区,85～89,17668,6182,11486,17570,6134,11436,98,48,50
13111,大田区,90～94,8669,2346,6323,8626,2334,6292,43,12,31
13111,大田区,95～99,2643,490,2153,2636,486,2150,7,4,3
13111,大田区,100以上,382,48,334,379,47,332,3,1,2
13112,世田谷区,総数,918141,434591,483550,892604,421347,471257,25537,13244,12293
13112,世田谷区,0～4,30775,15790,14985,30241,15540,14701,534,250,284
13112,世田谷区,5～9,36720,18694,18026,36138,18395,17743,582,299,283
13112,世田谷区,10～14,37441,19142,18299,36930,18864,18066,511,278,233
13112,世田谷区,15～19,36618,18934,17684,35643,18436,17207,975,498,477
13112,世田谷区,20～24,51548,25632,25916,48440,23982,24458,3108,1650,1458
13112,世田谷区,25～29,66842,31947,34895,62915,29903,33012,3927,2044,1883
13112,世田谷区,30～34,60943,29010,31933,57188,27118,30070,3755,1892,1863
13112,世田谷区,35～39,62734,29632,33102,59782,28099,31683,2952,1533,1419
13112,世田谷区,40～44,69569,33222,36347,67137,31946,35191,2432,1276,1156
13112,世田谷区,45～49,77148,36761,40387,75342,35793,39549,1806,968,838
13112,世田谷区,50～54,77524,36433,41091,76081,35668,40413,1443,765,678
13112,世田谷区,55～59,68673,33950,34723,67492,33300,34192,1181,650,531
13112,世田谷区,60～64,53439,26238,27201,52553,25773,26780,886,465,421
13112,世田谷区,65～69,41030,19903,21127,40459,19617,20842,571,286,285
13112,世田谷区,70～74,40976,18915,22061,40635,18756,21879,341,159,182
13112,世田谷区,75～79,38501,16851,21650,38277,16750,21527,224,101,123
13112,世田谷区,80～84,30045,11843,18202,29883,11765,18118,162,78,84
13112,世田谷区,85～89,21533,7549,13984,21454,7517,13937,79,32,47
13112,世田谷区,90～94,11742,3306,8436,11692,3292,8400,50,14,36
13112,世田谷区,95～99,3719,746,2973,3706,744,2962,13,2,11
13112,世田谷区,100以上,621,93,528,616,89,527,5,4,1
13113,渋谷区,総数,230609,110568,120041,218674,104063,114611,11935,6505,5430
13113,渋谷区,0～4,7876,3954,3922,7653,3837,3816,223,117,106
13113,渋谷区,5～9,8366,4148,4218,8063,4020,4043,303,128,175
13113,渋谷区,10～14,7430,3749,3681,7154,3603,3551,276,146,130
13113,渋谷区,15～19,6670,3304,3366,6328,3123,3205,342,181,161
13113,渋谷区,20～24,10739,5149,5590,9614,4571,5043,1125,578,547
13113,渋谷区,25～29,18974,9586,9388,17323,8747,8576,1651,839,812
13113,渋谷区,30～34,19207,9734,9473,17433,8754,8679,1774,980,794
13113,渋谷区,35～39,19600,9724,9876,18061,8871,9190,1539,853,686
13113,渋谷区,40～44,20409,10326,10083,19221,9632,9589,1188,694,494
13113,渋谷区,45～49,20522,10054,10468,19556,9465,10091,966,589,377
13113,渋谷区,50～54,19158,8974,10184,18322,8486,9836,836,488,348
13113,渋谷区,55～59,16229,7983,8246,15635,7644,7991,594,339,255
13113,渋谷区,60～64,12308,5996,6312,11867,5754,6113,441,242,199
13113,渋谷区,65～69,9318,4443,4875,9033,4305,4728,285,138,147
13113,渋谷区,70～74,9373,4399,4974,9226,4324,4902,147,75,72
13113,渋谷区,75～79,8929,3846,5083,8813,3780,5033,116,66,50
13113,渋谷区,80～84,6811,2672,4139,6744,2642,4102,67,30,37
13113,渋谷区,85～89,4883,1605,3278,4854,1590,3264,29,15,14
13113,渋谷区,90～94,2763,729,2034,2740,725,2015,23,4,19
13113,渋谷区,95～99,888,170,718,881,167,714,7,3,4
13113,渋谷区,100以上,156,23,133,153,23,130,3,-,3
13114,中野区,総数,337377,170371,167006,316164,159205,156959,21213,11166,10047
13114,中野区,0～4,10239,5285,4954,9751,5023,4728,488,262,226
13114,中野区,5～9,10395,5307,5088,10054,5116,4938,341,191,150
13114,中野区,10～14,9563,4872,4691,9265,4723,4542,298,149,149
13114,中野区,15～19,10229,5244,4985,8943,4517,4426,1286,727,559
13114,中野区,20～24,21928,11107,10821,17578,8786,8792,4350,2321,2029
13114,中野区,25～29,33040,16986,16054,28745,14670,14075,4295,2316,1979
13114,中野区,30～34,29821,15935,13886,26664,14239,12425,3157,1696,1461
13114,中野区,35～39,27612,14953,12659,25575,13859,11716,2037,1094,943
13114,中野区,40～44,26437,14317,12120,25004,13560,11444,1433,757,676
13114,中野区,45～49,26414,14254,12160,25479,13785,11694,935,469,466
13114,中野区,50～54,25749,13421,12328,24952,13017,11935,797,404,393
13114,中野区,55～59,21818,11471,10347,21138,11164,9974,680,307,373
13114,中野区,60～64,17158,8700,8458,16705,8514,8191,453,186,267
13114,中野区,65～69,13854,6849,7005,13573,6728,6845,281,121,160
13114,中野区,70～74,15046,7145,7901,14880,7070,7810,166,75,91
13114,中野区,75～79,13696,6135,7561,13594,6084,7510,102,51,51
13114,中野区,80～84,10890,4303,6587,10835,4284,6551,55,19,36
13114,中野区,85～89,7740,2613,5127,7704,2600,5104,36,13,23
13114,中野区,90～94,4248,1186,3062,4233,1180,3053,15,6,9
13114,中野区,95～99,1309,262,1047,1303,260,1043,6,2,4
13114,中野区,100以上,191,26,165,189,26,163,2,-,2
13115,杉並区,総数,572843,275440,297403,553665,265669,287996,19178,9771,9407
13115,杉並区,0～4,19098,9686,9412,18712,9483,9229,386,203,183
13115,杉並区,5～9,20770,10574,10196,20407,10383,10024,363,191,172
13115,杉並区,10～14,19884,10213,9671,19559,10037,9522,325,176,149
13115,杉並区,15～19,19948,10114,9834,19053,9634,9419,895,480,415
13115,杉並区,20～24,33399,16305,17094,30027,14576,15451,3372,1729,1643
13115,杉並区,25～29,48237,23429,24808,44470,21510,22960,3767,1919,1848
