地域 コード,地域,時間軸(年次),世帯の年間収入階級,普通世帯数【世帯】
13214,国分寺市,2018年,1000～1500万円未満,"5,000"
13214,国分寺市,2018年,1500万円以上,"1,660"
13215,国立市,2018年,総数,"33,870"
13215,国立市,2018年,100万円未満,"1,470"
13215,国立市,2018年,100～200万円未満,"3,440"
13215,国立市,2018年,200～300万円未満,"4,650"
13215,国立市,2018年,300～400万円未満,"4,800"
13215,国立市,2018年,400～500万円未満,"3,130"
13215,国立市,2018年,500～700万円未満,"4,730"
13215,国立市,2018年,700～1000万円未満,"4,530"
13215,国立市,2018年,1000～1500万円未満,"2,790"
13215,国立市,2018年,1500万円以上,"1,330"
13218,福生市,2018年,総数,"27,900"
13218,福生市,2018年,100万円未満,"1,430"
13218,福生市,2018年,100～200万円未満,"3,760"
13218,福生市,2018年,200～300万円未満,"4,630"
13218,福生市,2018年,300～400万円未満,"4,160"
13218,福生市,2018年,400～500万円未満,"3,140"
13218,福生市,2018年,500～700万円未満,"3,810"
13218,福生市,2018年,700～1000万円未満,"2,850"
13218,福生市,2018年,1000～1500万円未満,"1,080"
13218,福生市,2018年,1500万円以上,260
13219,狛江市,2018年,総数,"40,270"
13219,狛江市,2018年,100万円未満,"2,190"
13219,狛江市,2018年,100～200万円未満,"4,730"
13219,狛江市,2018年,200～300万円未満,"5,900"
13219,狛江市,2018年,300～400万円未満,"5,300"
13219,狛江市,2018年,400～500万円未満,"4,480"
13219,狛江市,2018年,500～700万円未満,"5,200"
13219,狛江市,2018年,700～1000万円未満,"4,360"
13219,狛江市,2018年,1000～1500万円未満,"2,950"
13219,狛江市,2018年,1500万円以上,970
13220,東大和市,2018年,総数,"35,620"
13220,東大和市,2018年,100万円未満,"1,680"
13220,東大和市,2018年,100～200万円未満,"3,830"
13220,東大和市,2018年,200～300万円未満,"5,250"
13220,東大和市,2018年,300～400万円未満,"5,140"
13220,東大和市,2018年,400～500万円未満,"3,950"
13220,東大和市,2018年,500～700万円未満,"5,750"
13220,東大和市,2018年,700～1000万円未満,"4,460"
13220,東大和市,2018年,1000～1500万円未満,"1,730"
13220,東大和市,2018年,1500万円以上,520
13221,清瀬市,2018年,総数,"34,650"
13221,清瀬市,2018年,100万円未満,"1,670"
13221,清瀬市,2018年,100～200万円未満,"3,640"
